panel,motif_id,tf,motif_len,expr_set,n_seqs,n_overlap,overlap_rate_pct,null_rate_pct
liver,MA0060.3,NFYA,11,high,20,0,0.0,5.4
liver,MA0060.3,NFYA,11,low,20,2,10.0,8.1
liver,MA0114.2,HNF4A,15,high,20,1,5.0,6.2
liver,MA0114.2,HNF4A,15,low,20,2,10.0,10.0
liver,MA0047.4,FOXA2,8,high,20,0,0.0,4.6
liver,MA0047.4,FOXA2,8,low,20,2,10.0,6.5
liver,MA0102.4,CEBPA,14,high,20,0,0.0,6.0
liver,MA0102.4,CEBPA,14,low,20,1,5.0,9.5
liver,MA0046.3,HNF1A,13,high,20,0,0.0,5.8
liver,MA0046.3,HNF1A,13,low,20,1,5.0,9.0
broad,MA0003,TFAP2A,9,high,20,0,0.0,4.9
broad,MA0003,TFAP2A,9,low,20,3,15.0,7.1
broad,MA0018,CREB1,8,high,20,2,10.0,4.6
broad,MA0018,CREB1,8,low,20,0,0.0,6.5
broad,MA0024,E2F1,12,high,20,0,0.0,5.6
broad,MA0024,E2F1,12,low,20,1,5.0,8.5
broad,MA0028,ELK1,9,high,20,3,15.0,4.9
broad,MA0028,ELK1,9,low,20,0,0.0,7.1
broad,MA0039,KLF4,8,high,20,3,15.0,4.6
broad,MA0039,KLF4,8,low,20,3,15.0,6.5
broad,MA0062,GABPA,10,high,20,2,10.0,5.1
broad,MA0062,GABPA,10,low,20,1,5.0,7.6
broad,MA0079,SP1,9,high,20,4,20.0,4.9
broad,MA0079,SP1,9,low,20,5,25.0,7.1
broad,MA0095,Yy1,8,high,20,1,5.0,4.6
broad,MA0095,Yy1,8,low,20,2,10.0,6.5
broad,MA0098,ETS1,9,high,20,3,15.0,4.9
broad,MA0098,ETS1,9,low,20,3,15.0,7.1
broad,MA0139,CTCF,15,high,20,3,15.0,6.2
broad,MA0139,CTCF,15,low,20,4,20.0,10.0
broad,MA0162,EGR1,10,high,20,2,10.0,5.1
broad,MA0162,EGR1,10,low,20,3,15.0,7.6
broad,MA0506,Nrf1,12,high,20,4,20.0,5.6
broad,MA0506,Nrf1,12,low,20,4,20.0,8.5
broad,MA0599,KLF5,10,high,20,4,20.0,5.1
broad,MA0599,KLF5,10,low,20,8,40.0,7.6
broad,MA1522,MAZ,8,high,20,4,20.0,4.6
broad,MA1522,MAZ,8,low,20,3,15.0,6.5
