offset_bp,n_seeds,auc_mean,auc_min,auc_max,auc_std,auprc_mean,auprc_min,auprc_max,auprc_std,auc_seed0,auc_seed1,auc_seed42,auprc_seed0,auprc_seed1,auprc_seed42
0,3,0.7334999999999999,0.7176,0.7619,0.020129745817239402,0.7425,0.7194,0.7669,0.019413569137762033,0.7176,0.721,0.7619,0.7412,0.7194,0.7669
100,3,0.7347333333333333,0.7106,0.7677,0.02413328729277378,0.7626666666666666,0.7329,0.8112,0.03461082040184673,0.7259,0.7106,0.7677,0.7439,0.7329,0.8112
200,3,0.6814666666666667,0.6609,0.7126,0.022389928291285083,0.7015000000000001,0.6652,0.7612,0.04254150914107301,0.6709,0.6609,0.7126,0.6652,0.6781,0.7612
300,3,0.6627666666666666,0.611,0.6943,0.03689411274926607,0.6974333333333332,0.6526,0.7335,0.033604001084527,0.6943,0.611,0.683,0.7335,0.6526,0.7062
400,3,0.6498666666666667,0.6161,0.6712,0.024151512490019258,0.6819000000000001,0.6462,0.7104,0.026699438196336658,0.6161,0.6623,0.6712,0.6462,0.6891,0.7104
500,3,0.6395333333333334,0.6065,0.6582,0.023423966833613426,0.6511333333333332,0.5817,0.6946,0.04961386454969575,0.6582,0.6065,0.6539,0.6771,0.5817,0.6946
600,3,0.5565666666666668,0.5259,0.572,0.02168476167470806,0.5643,0.5466,0.5788,0.013338915498145521,0.5259,0.572,0.5718,0.5466,0.5675,0.5788
700,3,0.536,0.5106,0.5566,0.019083675397225382,0.5522333333333334,0.5064,0.5866,0.033730533480644656,0.5106,0.5566,0.5408,0.5064,0.5637,0.5866
800,3,0.5095333333333333,0.4972,0.5293,0.014119568768989454,0.5187333333333334,0.4921,0.5382,0.01949056751924435,0.4972,0.5293,0.5021,0.5259,0.5382,0.4921
900,3,0.5437333333333333,0.4862,0.5863,0.042213768159478755,0.5698333333333334,0.5211,0.5989,0.03467269178410519,0.5863,0.4862,0.5587,0.5989,0.5211,0.5895
1000,3,0.5525,0.4915,0.6254,0.05530828750437556,0.5626666666666666,0.5018,0.6071,0.044531362231827354,0.5406,0.4915,0.6254,0.5791,0.5018,0.6071
1100,3,0.5353666666666667,0.518,0.5481,0.012717529459590638,0.5244000000000001,0.5211,0.5284,0.003021037349432571,0.518,0.54,0.5481,0.5284,0.5211,0.5237
1200,3,0.5268,0.4967,0.5469,0.021679637143334946,0.55,0.5238,0.5802,0.02319827579799844,0.4967,0.5469,0.5368,0.5238,0.5802,0.546
1300,3,0.5311333333333333,0.5149,0.5633,0.02274559786469071,0.5467000000000001,0.52,0.5742,0.022134287128043384,0.5149,0.5152,0.5633,0.52,0.5459,0.5742
1400,3,0.5241333333333333,0.4717,0.5809,0.04468589138518876,0.5410666666666666,0.4871,0.6043,0.04829329376033717,0.5198,0.4717,0.5809,0.5318,0.4871,0.6043
1500,3,0.5107999999999999,0.4704,0.5457,0.030986125927582486,0.5068666666666667,0.4879,0.5367,0.021352959721989084,0.5457,0.5163,0.4704,0.5367,0.496,0.4879
1600,3,0.5063,0.4941,0.5236,0.012571661253257913,0.5100333333333333,0.4927,0.5316,0.016160514293246404,0.4941,0.5012,0.5236,0.5058,0.4927,0.5316
1700,3,0.49956666666666666,0.4518,0.5321,0.03450664992271621,0.5076333333333333,0.4674,0.5334,0.028820864355917963,0.5321,0.4518,0.5148,0.5334,0.4674,0.5221
1800,3,0.5207,0.4658,0.5837,0.048472053804228275,0.5218999999999999,0.4814,0.5771,0.0404284553254264,0.5126,0.4658,0.5837,0.5072,0.4814,0.5771
1900,3,0.5069333333333333,0.4728,0.5498,0.03203595202615682,0.5174,0.4656,0.551,0.03716378165185382,0.4728,0.5498,0.4982,0.4656,0.5356,0.551
2000,3,0.5163333333333333,0.4871,0.5345,0.020873321622481542,0.5170333333333333,0.4878,0.5405,0.02189769140546301,0.5274,0.4871,0.5345,0.5228,0.4878,0.5405
