fold,human_gene,target_gene,h_chrom,h_strand,h_gc,h_rep,t_chrom,t_strand,t_gc,t_rep
test,ENSG00000137074,ENSMMUG00000007724,chr9,-,0.6630,0.0000,15,+,0.6610,0.0200
test,ENSG00000207617,ENSMMUG00000026971,chr9,-,0.5590,0.0000,15,+,0.5650,0.0000
train,ENSG00000115993,ENSMMUG00000023812,chr2,-,0.6840,0.0000,12,-,0.6730,0.0360
train,ENSG00000150540,ENSMMUG00000006918,chr2,+,0.4670,0.0000,12,+,0.4220,0.0920
val,ENSG00000122884,ENSMMUG00000011274,chr10,-,0.4420,0.0000,9,+,0.4810,0.1730
train,ENSG00000181856,ENSMMUG00000022709,chr17,+,0.6490,0.0000,16,+,0.6450,0.0280
train,ENSG00000100427,ENSMMUG00000009119,chr22,-,0.4660,0.0000,10,+,0.4210,0.0070
train,ENSG00000106263,ENSMMUG00000015529,chr7,+,0.5080,0.0000,3,+,0.5820,0.0960
train,ENSG00000140455,ENSMMUG00000012114,chr15,+,0.6090,0.0000,7,+,0.6110,0.1800
train,ENSG00000159450,ENSMMUG00000056263,chr1,-,0.3850,0.0000,1,+,0.3500,0.0060
train,ENSG00000186212,ENSMMUG00000018186,chr4,-,0.4990,0.0000,5,+,0.5870,0.0120
train,ENSG00000109705,ENSMMUG00000062096,chr4,-,0.6060,0.0000,5,-,0.5440,0.0540
test,ENSG00000196711,ENSMMUG00000042459,chr8,-,0.6270,0.0000,8,-,0.6640,0.0000
train,ENSG00000169018,ENSMMUG00000008311,chr15,+,0.5350,0.0000,7,+,0.6040,0.0850
train,ENSG00000151694,ENSMMUG00000012921,chr2,-,0.4050,0.0000,13,+,0.6070,0.0270
train,ENSG00000162951,ENSMMUG00000000291,chr2,-,0.4590,0.0000,13,+,0.4610,0.0440
train,ENSG00000108576,ENSMMUG00000003515,chr17,-,0.5170,0.0000,16,-,0.4660,0.0000
train,ENSG00000108813,ENSMMUG00000017658,chr17,+,0.4800,0.0000,16,-,0.6790,0.0710
train,ENSG00000172936,ENSMMUG00000000995,chr3,+,0.5730,0.0000,2,+,0.5780,0.1570
train,ENSG00000104824,ENSMMUG00000004877,chr19,-,0.5710,0.0000,19,-,0.5660,0.0000
train,ENSG00000172292,ENSMMUG00000043509,chr2,+,0.5640,0.0000,12,+,0.5930,0.0680
train,ENSG00000167771,ENSMMUG00000014133,chr11,-,0.6990,0.0000,14,+,0.6350,0.0140
test,ENSG00000200261,ENSMMUG00000026826,chr9,+,0.4270,0.0000,15,-,0.4430,0.1360
val,ENSG00000203795,ENSMMUG00000057705,chr10,+,0.4170,0.0000,9,+,0.4350,0.0090
train,ENSG00000138078,ENSMMUG00000006311,chr2,-,0.5910,0.0000,13,+,0.6060,0.0200
test,ENSG00000154582,ENSMMUG00000005155,chr8,-,0.4790,0.0000,8,-,0.5360,0.0080
train,ENSG00000162616,ENSMMUG00000050425,chr1,+,0.5090,0.0000,1,-,0.4830,0.0230
train,ENSG00000128159,ENSMMUG00000014100,chr22,-,0.6900,0.0000,10,+,0.6840,0.1950
train,ENSG00000137720,ENSMMUG00000053898,chr11,+,0.4720,0.0000,14,+,0.5130,0.0220
