fold,human_gene,target_gene,h_chrom,h_strand,h_gc,h_rep,t_chrom,t_strand,t_gc,t_rep
train,ENSG00000167985,ENSMMUG00000015281,chr11,+,0.6620,0.0000,14,-,0.4500,0.3960
test,ENSG00000137074,ENSMMUG00000007724,chr9,-,0.6630,0.0000,15,+,0.6610,0.0200
test,ENSG00000207617,ENSMMUG00000026971,chr9,-,0.5590,0.0000,15,+,0.5650,0.0000
train,ENSG00000089916,ENSMMUG00000008792,chr14,+,0.4740,0.0000,7,+,0.4710,0.5610
train,ENSG00000213215,ENSMMUG00000019855,chr7,+,0.3840,0.0000,3,+,0.3510,0.4960
train,ENSG00000115993,ENSMMUG00000023812,chr2,-,0.6840,0.0000,12,-,0.6730,0.0360
train,ENSG00000150540,ENSMMUG00000006918,chr2,+,0.4670,0.0000,12,+,0.4220,0.0920
train,ENSG00000129484,ENSMMUG00000016253,chr14,+,0.5620,0.0000,7,+,0.5020,0.5780
val,ENSG00000122884,ENSMMUG00000011274,chr10,-,0.4420,0.0000,9,+,0.4810,0.1730
train,ENSG00000181856,ENSMMUG00000022709,chr17,+,0.6490,0.0000,16,+,0.6450,0.0280
train,ENSG00000116544,ENSMMUG00000004998,chr1,-,0.7370,0.0000,1,+,0.7480,0.2160
train,ENSG00000100427,ENSMMUG00000009119,chr22,-,0.4660,0.0000,10,+,0.4210,0.0070
train,ENSG00000187510,ENSMMUG00000002243,chr12,+,0.4160,0.0000,11,+,0.4400,0.5770
train,ENSG00000252934,ENSMMUG00000036655,chr2,-,0.3500,0.0000,13,+,0.3450,0.3960
train,ENSG00000106263,ENSMMUG00000015529,chr7,+,0.5080,0.0000,3,+,0.5820,0.0960
train,ENSG00000102738,ENSMMUG00000001899,chr13,-,0.5320,0.0000,17,-,0.5320,0.5130
train,ENSG00000179695,ENSMMUG00000019052,chr12,+,0.3310,0.0000,11,+,0.3390,0.2350
train,ENSG00000080845,ENSMMUG00000016448,chr20,+,0.6550,0.0000,10,+,0.5390,0.5080
train,ENSG00000149577,ENSMMUG00000002053,chr11,+,0.4730,0.0000,14,+,0.4820,0.3360
train,ENSG00000140455,ENSMMUG00000012114,chr15,+,0.6090,0.0000,7,+,0.6110,0.1800
train,ENSG00000159450,ENSMMUG00000056263,chr1,-,0.3850,0.0000,1,+,0.3500,0.0060
train,ENSG00000252729,ENSMMUG00000046324,chr17,+,0.4590,0.0000,16,+,0.4580,0.5290
train,ENSG00000186212,ENSMMUG00000018186,chr4,-,0.4990,0.0000,5,+,0.5870,0.0120
train,ENSG00000102891,ENSMMUG00000016108,chr16,+,0.5510,0.0000,20,+,0.5490,0.5030
train,ENSG00000109705,ENSMMUG00000062096,chr4,-,0.6060,0.0000,5,-,0.5440,0.0540
train,ENSG00000169679,ENSMMUG00000017653,chr2,-,0.5490,0.0000,13,+,0.5270,0.2870
train,ENSG00000240993,ENSMMUG00000048652,chr12,-,0.3860,0.0000,11,-,0.3770,0.8970
test,ENSG00000196711,ENSMMUG00000042459,chr8,-,0.6270,0.0000,8,-,0.6640,0.0000
test,ENSG00000148399,ENSMMUG00000019609,chr9,-,0.6100,0.0000,15,+,0.6270,0.4150
train,ENSG00000169018,ENSMMUG00000008311,chr15,+,0.5350,0.0000,7,+,0.6040,0.0850
train,ENSG00000139144,ENSMMUG00000022174,chr12,+,0.3100,0.0000,11,+,0.2800,1.0000
train,ENSG00000143036,ENSMMUG00000001686,chr1,+,0.5750,0.0000,1,-,0.5880,0.5350
train,ENSG00000174697,ENSMMUG00000005322,chr7,+,0.6330,0.0000,3,+,0.5630,0.5210
train,ENSG00000151475,ENSMMUG00000061247,chr4,+,0.4590,0.0000,5,+,0.4660,0.4250
train,ENSG00000182118,ENSMMUG00000008191,chr1,-,0.7190,0.0000,1,+,0.7000,0.3300
train,ENSG00000060558,ENSMMUG00000047845,chr19,+,0.4900,0.0000,19,+,0.4970,0.5030
val,ENSG00000243446,ENSMMUG00000047576,chr10,-,0.4360,0.0000,9,+,0.4240,0.5230
train,ENSG00000143924,ENSMMUG00000016277,chr2,+,0.5470,0.0000,13,-,0.4930,0.2780
train,ENSG00000207457,ENSMMUG00000057469,chr22,+,0.4420,0.0000,10,-,0.4560,0.6140
train,ENSG00000239002,ENSMMUG00000036830,chr12,+,0.4310,0.0000,11,+,0.4260,0.3790
train,ENSG00000151694,ENSMMUG00000012921,chr2,-,0.4050,0.0000,13,+,0.6070,0.0270
train,ENSG00000243671,ENSMMUG00000043888,chr13,-,0.2790,0.0000,17,-,0.2990,0.9640
train,ENSG00000133627,ENSMMUG00000018920,chr7,+,0.4940,0.0000,3,+,0.4930,0.6570
test,ENSG00000168495,ENSMMUG00000023226,chr8,+,0.5650,0.0000,8,+,0.5510,0.2790
train,ENSG00000205339,ENSMMUG00000023636,chr11,+,0.4700,0.0000,14,-,0.3850,0.6460
train,ENSG00000188107,ENSMMUG00000041338,chr6,-,0.3020,0.0000,4,+,0.3270,0.4790
train,ENSG00000154655,ENSMMUG00000016302,chr18,-,0.4350,0.0000,18,-,0.4090,0.3720
train,ENSG00000137171,ENSMMUG00000011668,chr6,+,0.5860,0.0000,4,-,0.4810,0.2090
train,ENSG00000162951,ENSMMUG00000000291,chr2,-,0.4590,0.0000,13,+,0.4610,0.0440
train,ENSG00000141194,ENSMMUG00000011975,chr17,+,0.3790,0.0000,16,-,0.3970,0.3120
train,ENSG00000108576,ENSMMUG00000003515,chr17,-,0.5170,0.0000,16,-,0.4660,0.0000
train,ENSG00000108813,ENSMMUG00000017658,chr17,+,0.4800,0.0000,16,-,0.6790,0.0710
train,ENSG00000172936,ENSMMUG00000000995,chr3,+,0.5730,0.0000,2,+,0.5780,0.1570
train,ENSG00000104824,ENSMMUG00000004877,chr19,-,0.5710,0.0000,19,-,0.5660,0.0000
train,ENSG00000199516,ENSMMUG00000052623,chr7,+,0.4320,0.0000,3,+,0.4430,0.7130
train,ENSG00000238917,ENSMMUG00000037310,chr17,+,0.4830,0.0000,16,+,0.5030,0.5520
train,ENSG00000137273,ENSMMUG00000004540,chr6,+,0.6060,0.0000,4,-,0.6010,0.3420
train,ENSG00000172292,ENSMMUG00000043509,chr2,+,0.5640,0.0000,12,+,0.5930,0.0680
train,ENSG00000167771,ENSMMUG00000014133,chr11,-,0.6990,0.0000,14,+,0.6350,0.0140
test,ENSG00000200261,ENSMMUG00000026826,chr9,+,0.4270,0.0000,15,-,0.4430,0.1360
train,ENSG00000122965,ENSMMUG00000010496,chr12,-,0.4830,0.0000,11,-,0.4830,0.3100
train,ENSG00000076258,ENSMMUG00000014230,chr1,+,0.4030,0.0000,1,+,0.3990,0.2020
train,ENSG00000182400,ENSMMUG00000021027,chr14,-,0.4470,0.0000,7,-,0.4590,0.3230
val,ENSG00000203795,ENSMMUG00000057705,chr10,+,0.4170,0.0000,9,+,0.4350,0.0090
